List,Price,Recommended_Day,Story,Menu,Type,Address,Amap,Image
Shijiu Xinjingcai (Poetry‧Wine),¥150/person,"1 ม.ค. 27 @ 07.00 PM (มื้อค่ำฉลองวันปีใหม่ Day 4 ใน Itinerary)","ภัตตาคารอาหารปักกิ่งร่วมสมัย (Modern Beijing Cuisine) ดีกรีมิชลิน 1 ดาว ถ่ายทอดความทรงจำรสชาติดั้งเดิมผ่านการนำเสนอสุดประณีต ผสานกลิ่นอายบทกวีและวัฒนธรรมจีน บรรยากาศหรูหราอบอุ่น","เป็ดปักกิ่งอบฟืนกลิ่นดอกมะลิ (茉莉花香烤鸭), หัวปลาตุ๋นสูตรเด็ดเสิร์ฟคู่ปาท่องโก๋ยักษ์ (拾久绝味鱼头), ตับห่านซอสซานจา (山楂鹅肝)",Highlights,Beijing,https://surl.amap.com/cEGdMLA10ZZ,images/itinerary/shijiu-xinjingcai.jpg
Long Time Ago Mutton Shashlik (Chongwenmen Branch),¥120/person,"3 ม.ค. 27 @ 06.10 PM (มื้อค่ำหลังเที่ยวพระราชวังต้องห้าม & ช้อปปิ้ง Day 6 ใน Itinerary)","ร้านบาร์บีคิวเนื้อแกะเสียบไม้อันดับ 1 ของจีน คัดสรรเนื้อแกะทุ่งหญ้าธรรมชาติจากมองโกเลียใน ใช้เตาย่างถ่านหมุนอัตโนมัติควันน้อย บรรยากาศสนุกสนาน มีเอกลักษณ์ด้วยการแจกแผ่นแปะเย็นหน้าผากดับร้อน","เนื้อแกะเสียบไม้ฮูหลุนเป้ยเอ่อร์ย่างเตาถ่าน (呼伦贝尔羊肉串), ปีกไก่ย่างเตาถ่าน, ขนมปังปิ้งเนยน้ำตาลเตาถ่าน, ซุปเกอตาทัง (疙瘩汤)",Highlights,Chongwenmen,https://surl.amap.com/hWJjKxk1u2g9,images/itinerary/long-time-ago-mutton.jpg
Taotaoju Restaurant,¥110/person,"29 ธ.ค. 26 / 1 ม.ค. 27 / 4 ม.ค. 27 (มื้อกลางวันและมื้อค่ำ ย่าน Sanlitun)","ภัตตาคารอาหารกวางตุ้งระดับตำนานเก่าแก่กว่า 140 ปี ก่อตั้งตั้งแต่สมัยราชวงศ์ชิง (ค.ศ. 1880) ได้รับการยกย่องเป็นมรดกทางวัฒนธรรมอาหารกวางตุ้งแท้ๆ บรรยากาศหรูหราคลาสสิก","ฮะเก๋ากุ้งยักษ์แป้งบางใส (陶陶居大虾饺), ก๋วยเตี๋ยวหลอดกุ้งกรอบแป้งแดง (鲜虾红米肠), ห่านย่างสูตรโบราณ, ซาลาเปาโป๋วหลัวไส้นมสดลาวา",Highlights,Taikoo Li,https://surl.amap.com/84ynmUiT1Ts,images/restaurants/taotaoju.jpg
Xiao Dadong,¥110/person,"29 ธ.ค. 26 / 31 ธ.ค. 26 / 1 ม.ค. 27 (มื้ออาหาร Sanlitun)","แบรนด์ลูกของภัตตาคารชื่อดัง DaDong เป็ดปักกิ่ง ออกแบบมาเพื่อคนรุ่นใหม่ในบรรยากาศโมเดิร์น เสิร์ฟเป็ดปักกิ่งย่างหนังกรอบพิเศษไขมันต่ำด้วยนวัตกรรมการอบเตาฟืนแบบเฉพาะ","เป็ดปักกิ่งหนังกรอบไขมันต่ำ (Crispy Lean Roast Duck), สลัดมะเขือเทศไส้เห็ดกรอบ, ซุปเป็ดตุ๋นเห็ดทรัฟเฟิล, สายไหมสายรุ้งยักษ์",Highlights,Taikoo Li,https://surl.amap.com/35IZFDUF1A7Yd,images/restaurants/xiao-dadong2.jpg
Hu Tea House Hot Pot Baicha,¥137/person,"29 ธ.ค. 26 / 30 ธ.ค. 26 / 2 ม.ค. 27 (มื้อค่ำรอบที่พัก SOHO Sanlitun)","ร้านหม้อไฟคอนเซ็ปต์โรงน้ำชาโบราณเปิด 24 ชั่วโมง ผสมผสานความโมเดิร์น โดดเด่นด้วยการใช้น้ำชาขาวต้มเคี่ยวกับซุปหม้อไฟ ช่วยตัดเลี่ยน ดับร้อน และเพิ่มกลิ่นหอมเฉพาะตัว","หม้อไฟซุปชาสมุนไพรคู่หมาล่า, ผ้าขี้ริ้ววัวและเนื้อวัวหมักกลิ่นชา, ชานมเย็นกระบอกไม้ไผ่โบราณ",Meal,SOHO,https://surl.amap.com/1Shp0xml1f77Q,images/restaurants/hu-tea-house.jpg
BUTTERFUL & CREAMOROUS,¥68/person,"29 ธ.ค. 26 / 31 ธ.ค. 26 / 4 ม.ค. 27 (ช่วงบ่ายและค่ำ Taikoo Li)","เบเกอรี่แบรนด์ดังกระแสไวรัลระดับประเทศ โดดเด่นด้วยถุงกระดาษสีเขียวซิกเนเจอร์และการตกแต่งสไตล์ฝรั่งเศส ใช้เนยนำเข้าคุณภาพสูง นวดแป้งและอบสดใหม่ตลอดวัน","ครัวซองต์สเต๊กเวลลิงตัน (Wellington Croissant), ครัวซองต์เนยสดไส้ครีมทะลัก, ทาร์ตผลไม้สดและครอฟเฟิลบลูเบอร์รี่",Meal,Taikoo Li,https://surl.amap.com/2CALqPo1abRw,images/restaurants/butterful-creamorous.jpg
Feidachu Cayenne Pepper Chaorou,¥28/person,"29 ธ.ค. 26 / 31 ธ.ค. 26 / 4 ม.ค. 27 (มื้อกลางวันและมื้อค่ำ ย่าน Sanlitun)","แบรนด์อาหารหูหนานชื่อดังอันดับ 1 ของจีน การันตีรางวัลคิวยาวต่อเนื่อง โดดเด่นด้วยการใช้เตาไฟแรงคั่วพริกหยวกสดกับเนื้อหมูดำคัดพิเศษ ให้กลิ่นหอมกระทะอันเป็นเอกลักษณ์","หมูผัดพริกหยวกหูหนานเสิร์ฟบนเตาร้อน (ซิกเนเจอร์), ยำพริกเผาไข่เยี่ยวม้าบด (擂辣椒皮蛋), ซุปกระดูกหมูหัวไชเท้า",Meal,Taikoo Li,https://surl.amap.com/1shupFQYagc,images/restaurants/feidachu.jpg
Shake Shack,¥90/person,"30 ธ.ค. 26 / 1 ม.ค. 27 / 4 ม.ค. 27 (มื้อเช้าและมื้อกลางวัน Taikoo Li)","เบอร์เกอร์แบรนด์ดังระดับโลกจากมหานครนิวยอร์ก สาขาซานหลี่ถุนเปิดตัวด้วยสถาปัตยกรรมสุดเก๋และที่นั่งกลางแจ้ง เป็นจุดนัดพบยอดนิยมของสายสตรีทและนักท่องเที่ยว","ShackBurger เนื้อแองกัสฉ่ำนุ่ม, Crinkle Cut Fries ราดชีสซอส, มิลค์เชคปั่นสูตรพิเศษประจำฤดูกาล",Breakfast,Taikoo Li,https://surl.amap.com/iXoALASh3B2,images/restaurants/shake-shack.jpg
Jindingxuan (The Lama Temple Ditan Branch),¥80/person,"31 ธ.ค. 26 @ 08.20 AM (มื้อเช้าก่อนเข้าวัดยงเหอกง Day 3 ใน Itinerary)","ภัตตาคารติ่มซำ 24 ชั่วโมงระดับแลนด์มาร์กของปักกิ่ง ตัวอาคารออกแบบด้วยสถาปัตยกรรมพระราชวังจีนโบราณประดับโคมไฟสีแดงและสีทองอร่าม เป็นจุดแวะรับประทานอาหารเช้ายอดนิยมก่อนเข้าชมวัดยงเหอกง","ฮะเก๋าจักรพรรดิกุ้งยักษ์ (金鼎虾饺皇), ซาลาเปาลาวาไข่เค็มเยิ้ม (蛋黄流沙包), ขาไก่นึ่งเต้าซี่, เสี่ยวหลงเปาหมูสูตรต้นตำรับ",Breakfast,Ditan,https://surl.amap.com/dDRU9MCu7g0,images/itinerary/jindingxuan.jpg
KFC,¥38/person,"30 ธ.ค. 26 / 2 ม.ค. 27 (มื้อเช้าก่อนออกเดินทางไกล)","KFC ประเทศจีนขึ้นชื่อเรื่องเมนูอาหารเช้าที่ปรับให้เข้ากับวัฒนธรรมท้องถิ่นอย่างยอดเยี่ยม ได้รับความนิยมสูงสุดจากคนทำงานในการแวะซื้ออาหารเช้าร้อนๆ รวดเร็วและรสชาติดี","โจ๊กไข่เยี่ยวม้าหมูเส้น/โจ๊กไก่เห็ดหอม เสิร์ฟคู่ปาท่องโก๋ทอด, พานินี่ไข่ดาวเบคอนชีส, น้ำเต้าหู้สดเข้มข้น",Breakfast,Lanqiao,https://surl.amap.com/mPNbGbIHcvZ,images/restaurants/kfc.jpg
Nanchengxiang,¥29/person,"30 ธ.ค. 26 / 1 ม.ค. 27 / 2 ม.ค. 27 (มื้อเช้า Dongdaqiao/SOHO)","ร้านอาหารจานด่วนและโรงอาหารชุมชนขวัญใจชาวปักกิ่ง เปิดให้บริการตลอดวัน โดดเด่นด้วยอาหารเช้าบุฟเฟต์เครื่องดื่ม 3 หยวนสุดคุ้ม เกี๊ยวน้ำทำสดใหม่ และเมนูปิ้งย่างรสชาติดั้งเดิม","เกี๊ยวน้ำไส้กุ้งหมูสับ (虾仁鲜肉馄饨), ปาท่องโก๋ทอดสดสูตรไม่อมน้ำมัน, บุฟเฟต์น้ำเต้าหู้และโจ๊กธัญพืชเติมไม่อั้น (3元早餐)",Breakfast,Dongdaqiao,https://surl.amap.com/1EY4nU6131PG,images/restaurants/nanchengxiang.jpg
Teng Xiangcai Battercake,¥25/person,"30 ธ.ค. 26 / 1 ม.ค. 27 / 2 ม.ค. 27 (มื้อเช้ารอบตึก SOHO Sanlitun)","ร้าน 'ไช่เจียนปิ่ง' (เครปผักรวมสไตล์เถิงโจว มณฑลซานตง) อาหารเช้าสุขภาพยอดนิยม โดดเด่นด้วยการใช้แป้งธัญพืชโฮลเกรนบางกรอบ อัดแน่นด้วยไส้ผักรวมซอยสดคลุกเคล้าเครื่องเทศและไข่ไก่ ย่างบนเตาร้อนจนกรอบนอกไส้ฉ่ำไม่อมน้ำมัน","เถิงโจวไช่เจียนปิ่งไส้ผักรวมสูตรดั้งเดิม (滕州菜煎饼), ไช่เจียนปิ่งเพิ่มไข่และไส้กรอก, ซุปไข่สาหร่าย / น้ำเต้าหู้สด",Breakfast,SOHO,https://surl.amap.com/luFdvt0K3IK,images/restaurants/teng-xiangcai.jpg
Haokaixin Clay Oven Rolls Liji,¥11/person,"30 ธ.ค. 26 / 1 ม.ค. 27 / 2 ม.ค. 27 (มื้อเช้ารอบตึก SOHO Sanlitun)","ร้านอาหารเช้าสตรีทฟู้ดยอดฮิตสไตล์ 'เซาปิ่งไส้สันในหมู' (烧饼里脊) ขวัญใจคนทำงาน เสิร์ฟแป้งเซาปิ่งอบโรยงาขาวกรอบนอกนุ่มใน ผ่าประกบไส้เนื้อสันในหมูหมักทอดร้อนๆ ทาซอสรสเด็ดสูตรเข้มข้น ทำสดใหม่รวดเร็ว","เซาปิ่งไส้สันในหมูทอดเพิ่มไข่ดาว (烧饼夹里脊加蛋), เซาปิ่งไส้สันในไก่และไส้กรอก, น้ำเต้าหู้ร้อนสูตรดั้งเดิม/พุทราจีน",Breakfast,SOHO,https://surl.amap.com/fCZMqYK1qcWt,images/restaurants/haokaixin-rolls.jpg
